profile_label,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,prompt_state_label,value_bearing_label,display_value,surface_label,requested_label,requested_region_id,reason
h2q_h2o_value_bearing_target_query_synthesis,h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode field""}",extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode switch""}",mode switch,,,,,,
h2q_h2p_contextual_surface_alias_routing,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""Blocked badge""}",extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""result comment""}",result comment,,,,,,
h2q_h2p_contextual_surface_alias_routing,h2q_state_panel_closed_value_tag_decoy,h2q_surface_alias_value_decoy,visual_contextual_surface_alias_routing,extract_layout,"{""image_id"":""img-h2q-state-panel-closed"",""target_query"":""Closed""}",extract_layout,"{""image_id"":""img-h2q-state-panel-closed"",""target_query"":""state panel""}",,,Closed,state panel,,,contextual_surface_alias_recoverable
h2q_h2p_contextual_surface_alias_routing,h2q_priority_badge_critical_stale_status_decoy,h2q_value_bearing_stale_decoy,visual_value_bearing_target_query_synthesis,extract_layout,"{""image_id"":""img-h2q-priority-badge-critical"",""target_query"":""Critical priority badge""}",extract_layout,"{""image_id"":""img-h2q-priority-badge-critical"",""target_query"":""priority badge Critical""}",priority badge,priority badge Critical,,,,,value_bearing_label_recoverable
h2q_h2p_contextual_surface_alias_routing,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_value_bearing_target_query_synthesis,extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field Amina""}",owner field,owner field Amina,,,,,value_bearing_label_recoverable
h2q_h2p_contextual_surface_alias_routing,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_stale_selection_gate,refine_selection,"{""filter_query"":""latest"",""selection_id"":""amina""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field""}",,,,,,,
h2q_h2p_contextual_surface_alias_routing,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""archived exception panel""}",extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""error banner""}",error banner,,,,,,
h2q_h2p_contextual_surface_alias_routing,h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode field""}",extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode switch""}",mode switch,,,,,,
h2q_h2r_composed_route_gating,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""result comment""}",extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""result tile""}",,,,,result tile,h2q-result-tile-blocked-13002,requested_surface_over_deprioritized_decoy
h2q_h2r_composed_route_gating,h2q_result_tile_blocked_value_badge_decoy,h2q_surface_alias_value_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""Blocked badge""}",extract_layout,"{""image_id"":""img-h2q-result-tile-blocked"",""target_query"":""result comment""}",result comment,,,,,,
h2q_h2r_composed_route_gating,h2q_state_panel_closed_value_tag_decoy,h2q_surface_alias_value_decoy,visual_contextual_surface_alias_routing,extract_layout,"{""image_id"":""img-h2q-state-panel-closed"",""target_query"":""Closed""}",extract_layout,"{""image_id"":""img-h2q-state-panel-closed"",""target_query"":""state panel""}",,,Closed,state panel,,,contextual_surface_alias_recoverable
h2q_h2r_composed_route_gating,h2q_priority_badge_critical_stale_status_decoy,h2q_value_bearing_stale_decoy,visual_value_bearing_target_query_synthesis,extract_layout,"{""image_id"":""img-h2q-priority-badge-critical"",""target_query"":""Critical priority badge""}",extract_layout,"{""image_id"":""img-h2q-priority-badge-critical"",""target_query"":""priority badge Critical""}",priority badge,priority badge Critical,,,,,value_bearing_label_recoverable
h2q_h2r_composed_route_gating,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_value_bearing_target_query_synthesis,extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field Amina""}",owner field,owner field Amina,,,,,value_bearing_label_recoverable
h2q_h2r_composed_route_gating,h2q_owner_field_amina_archived_owner_decoy,h2q_value_bearing_stale_decoy,visual_stale_selection_gate,refine_selection,"{""filter_query"":""latest"",""selection_id"":""amina""}",extract_layout,"{""image_id"":""img-h2q-owner-field-amina"",""target_query"":""owner field""}",,,,,,,
h2q_h2r_composed_route_gating,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""error banner""}",extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""error notice""}",,,,,error notice,h2q-error-notice-13042,requested_surface_over_deprioritized_decoy
h2q_h2r_composed_route_gating,h2q_archive_panel_error_notice_banner_decoy,h2q_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""archived exception panel""}",extract_layout,"{""image_id"":""img-h2q-error-notice"",""target_query"":""error banner""}",error banner,,,,,,
h2q_h2r_composed_route_gating,h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,visual_composed_route_gating,extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode switch""}",extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode field""}",,,,,mode field,h2q-mode-field-13052,requested_surface_over_deprioritized_decoy
h2q_h2r_composed_route_gating,h2q_mode_field_manual_switch_decoy,h2q_contextual_alias_decoy_overlap,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode field""}",extract_layout,"{""image_id"":""img-h2q-mode-field"",""target_query"":""mode switch""}",mode switch,,,,,,
h2q_h2r_composed_route_gating,h2q_result_tile_stale_selection_hint,h2q_stale_surface_alias,visual_composed_route_gating,refine_selection,"{""filter_query"":""Blocked"",""selection_id"":""sel-archived-result-badge""}",extract_layout,"{""image_id"":""img-h2q-result-tile-stale-selection"",""target_query"":""result tile""}",,,,,result tile,h2q-current-result-tile-13062,stale_selection_to_requested_surface
h2q_h2r_composed_route_gating,h2q_state_panel_stale_selection_hint,h2q_stale_surface_alias,visual_composed_route_gating,refine_selection,"{""filter_query"":""Closed"",""selection_id"":""sel-archived-state-tag""}",extract_layout,"{""image_id"":""img-h2q-state-panel-stale-selection"",""target_query"":""state panel""}",,,,,state panel,h2q-current-state-panel-13072,stale_selection_to_requested_surface
