system_id,case_id,family,baseline_exact_match,candidate_exact_match,delta_exact_match,baseline_failure_mode,candidate_failure_mode,baseline_executable_match,candidate_executable_match,delta_executable_match,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count,label
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,visual_callout_warning_with_user_decoy,visual_argument_copying,True,False,-1,exact,argument_mismatch,True,False,-1,1,1,0,visual role catalog
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,visual_form_error_vs_message_author,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,visual role catalog
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,visual_form_error_with_prior_selection_decoy,visual_tool_routing,True,True,0,exact,exact,True,True,0,1,1,0,visual role catalog
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,visual_latest_filter_existing_selection,visual_referent_carryover,True,False,-1,exact,wrong_tool,True,False,-1,1,1,0,visual role catalog
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,visual_metric_panel_vs_table_selector,visual_argument_copying,True,False,-1,exact,argument_mismatch,True,False,-1,1,1,0,visual role catalog
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,visual_region_readback_after_layout_result,visual_region_readback,True,True,0,exact,exact,True,True,0,1,1,0,visual role catalog
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,visual_remaining_filter_existing_selection,visual_referent_carryover,True,False,-1,exact,wrong_tool,True,False,-1,1,1,0,visual role catalog
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,False,-1,exact,argument_mismatch,True,False,-1,1,1,0,visual role catalog
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,visual_callout_warning_with_user_decoy,visual_argument_copying,True,False,-1,exact,executable_paraphrase,True,True,0,1,1,0,catalog arg hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,visual_form_error_vs_message_author,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,catalog arg hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,visual_form_error_with_prior_selection_decoy,visual_tool_routing,True,True,0,exact,exact,True,True,0,1,1,0,catalog arg hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,visual_latest_filter_existing_selection,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog arg hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,visual_metric_panel_vs_table_selector,visual_argument_copying,True,False,-1,exact,argument_mismatch,True,False,-1,1,1,0,catalog arg hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,visual_region_readback_after_layout_result,visual_region_readback,True,True,0,exact,exact,True,True,0,1,1,0,catalog arg hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,visual_remaining_filter_existing_selection,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog arg hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog arg hints
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,visual_callout_warning_with_user_decoy,visual_argument_copying,True,False,-1,exact,executable_paraphrase,True,True,0,1,1,0,visual catalog literal
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,visual_form_error_vs_message_author,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,visual catalog literal
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,visual_form_error_with_prior_selection_decoy,visual_tool_routing,True,True,0,exact,exact,True,True,0,1,1,0,visual catalog literal
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,visual_latest_filter_existing_selection,visual_referent_carryover,True,False,-1,exact,no_tool_call,True,False,-1,1,0,-1,visual catalog literal
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,visual_metric_panel_vs_table_selector,visual_argument_copying,True,False,-1,exact,argument_mismatch,True,False,-1,1,1,0,visual catalog literal
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,visual_region_readback_after_layout_result,visual_region_readback,True,True,0,exact,exact,True,True,0,1,1,0,visual catalog literal
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,visual_remaining_filter_existing_selection,visual_referent_carryover,True,False,-1,exact,wrong_tool,True,False,-1,1,1,0,visual catalog literal
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_literal_guard,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,False,-1,exact,argument_mismatch,True,False,-1,1,1,0,visual catalog literal
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,visual_callout_warning_with_user_decoy,visual_argument_copying,True,False,-1,exact,executable_paraphrase,True,True,0,1,1,0,catalog schema fields
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,visual_form_error_vs_message_author,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema fields
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,visual_form_error_with_prior_selection_decoy,visual_tool_routing,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema fields
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,visual_latest_filter_existing_selection,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema fields
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,visual_metric_panel_vs_table_selector,visual_argument_copying,True,False,-1,exact,executable_paraphrase,True,True,0,1,1,0,catalog schema fields
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,visual_region_readback_after_layout_result,visual_region_readback,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema fields
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,visual_remaining_filter_existing_selection,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema fields
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_field_hints,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema fields
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,visual_callout_warning_with_user_decoy,visual_argument_copying,True,False,-1,exact,executable_paraphrase,True,True,0,1,1,0,catalog schema target literals
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,visual_form_error_vs_message_author,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema target literals
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,visual_form_error_with_prior_selection_decoy,visual_tool_routing,True,False,-1,exact,wrong_tool,True,False,-1,1,1,0,catalog schema target literals
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,visual_latest_filter_existing_selection,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema target literals
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,visual_metric_panel_vs_table_selector,visual_argument_copying,True,False,-1,exact,executable_paraphrase,True,True,0,1,1,0,catalog schema target literals
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,visual_region_readback_after_layout_result,visual_region_readback,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema target literals
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,visual_remaining_filter_existing_selection,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema target literals
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_schema_literal_targets,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog schema target literals
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,visual_callout_warning_with_user_decoy,visual_argument_copying,True,False,-1,exact,executable_paraphrase,True,True,0,1,1,0,catalog split selector
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,visual_form_error_vs_message_author,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,catalog split selector
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,visual_form_error_with_prior_selection_decoy,visual_tool_routing,True,True,0,exact,exact,True,True,0,1,1,0,catalog split selector
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,visual_latest_filter_existing_selection,visual_referent_carryover,True,False,-1,exact,wrong_tool,True,False,-1,1,1,0,catalog split selector
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,visual_metric_panel_vs_table_selector,visual_argument_copying,True,False,-1,exact,argument_mismatch,True,False,-1,1,1,0,catalog split selector
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,visual_region_readback_after_layout_result,visual_region_readback,True,True,0,exact,exact,True,True,0,1,1,0,catalog split selector
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,visual_remaining_filter_existing_selection,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog split selector
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_split_selector_hints,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,catalog split selector
