label,case_id,family,exact_match,executable_match,executor_target_match,expected_call_satisfies_execution,expected_call_classification,replay_classification,expected_calls,actual_calls,expected_execution,actual_execution
role_catalog_v1,transfer_review_tile_notice_table_decoy,visual_argument_transfer,False,False,False,False,expected_call_returns_empty_region_selection,executor_target_miss,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""invoice totals table""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""notice and table mentioning renewal risk""}}]","{""region_ids"":[""transfer-tile-3001""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""notice and table mentioning renewal risk""},""validator_result"":""pass"",""region_ids"":[],""region_id"":"""",""error"":null}]"
role_catalog_v1,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,False,False,False,False,expected_call_invalid_empty_region_id,executor_target_miss,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""target_query"":""signature warning text""}}]","{""region_ids"":[""transfer-signature-3502""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""target_query"":""signature warning text""},""validator_result"":""pass"",""region_ids"":[],""region_id"":"""",""error"":null}]"
role_catalog_v1,transfer_status_pill_chart_decoy,visual_argument_transfer,False,False,False,False,expected_call_invalid_empty_region_id,no_tool_call,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-status-pill"",""region_id"":""""}}]",[],"{""region_ids"":[""transfer-pill-3101""]}",[]
argument_hints_v2,transfer_error_banner_note_decoy,visual_argument_transfer,False,True,True,False,expected_call_returns_empty_region_selection,nonexact_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""}}]","{""region_ids"":[""transfer-banner-3202""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""},""validator_result"":""pass"",""region_ids"":[""transfer-banner-3202""],""region_id"":""transfer-banner-3202"",""error"":null}]"
argument_hints_v2,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,True,True,True,True,expected_call_reaches_executor_target,exact_and_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","{""region_ids"":[""transfer-form-3402""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""},""validator_result"":""pass"",""region_ids"":[""transfer-form-3402""],""region_id"":""transfer-form-3402"",""error"":null}]"
argument_hints_v2,transfer_queue_badge_person_decoy,visual_argument_transfer,False,True,True,False,expected_call_invalid_empty_region_id,nonexact_executor_target_success,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""queue badge""}}]","{""region_ids"":[""transfer-queue-3302""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""queue badge""},""validator_result"":""pass"",""region_ids"":[""transfer-queue-3302""],""region_id"":""transfer-queue-3302"",""error"":null}]"
argument_hints_v2,transfer_review_tile_notice_table_decoy,visual_argument_transfer,False,True,True,False,expected_call_returns_empty_region_selection,nonexact_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""invoice totals table""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""review tile""}}]","{""region_ids"":[""transfer-tile-3001""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""review tile""},""validator_result"":""pass"",""region_ids"":[""transfer-tile-3001""],""region_id"":""transfer-tile-3001"",""error"":null}]"
argument_hints_v2,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,False,True,True,False,expected_call_invalid_empty_region_id,nonexact_executor_target_success,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""target_query"":""signature warning""}}]","{""region_ids"":[""transfer-signature-3502""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""target_query"":""signature warning""},""validator_result"":""pass"",""region_ids"":[""transfer-signature-3502""],""region_id"":""transfer-signature-3502"",""error"":null}]"
argument_hints_v2,transfer_status_pill_chart_decoy,visual_argument_transfer,False,True,True,False,expected_call_invalid_empty_region_id,nonexact_executor_target_success,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-status-pill"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-status-pill"",""target_query"":""blocked status pill""}}]","{""region_ids"":[""transfer-pill-3101""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-status-pill"",""target_query"":""blocked status pill""},""validator_result"":""pass"",""region_ids"":[""transfer-pill-3101""],""region_id"":""transfer-pill-3101"",""error"":null}]"
schema_field_hints_v4,transfer_error_banner_note_decoy,visual_argument_transfer,False,True,True,False,expected_call_returns_empty_region_selection,nonexact_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""}}]","{""region_ids"":[""transfer-banner-3202""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""},""validator_result"":""pass"",""region_ids"":[""transfer-banner-3202""],""region_id"":""transfer-banner-3202"",""error"":null}]"
schema_field_hints_v4,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,True,True,True,True,expected_call_reaches_executor_target,exact_and_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","{""region_ids"":[""transfer-form-3402""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""},""validator_result"":""pass"",""region_ids"":[""transfer-form-3402""],""region_id"":""transfer-form-3402"",""error"":null}]"
schema_field_hints_v4,transfer_queue_badge_person_decoy,visual_argument_transfer,False,False,False,False,expected_call_invalid_empty_region_id,executor_target_miss,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""assignee note""}}]","{""region_ids"":[""transfer-queue-3302""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""assignee note""},""validator_result"":""pass"",""region_ids"":[""transfer-queue-3301""],""region_id"":""transfer-queue-3301"",""error"":null}]"
schema_field_hints_v4,transfer_review_tile_notice_table_decoy,visual_argument_transfer,False,False,False,False,expected_call_returns_empty_region_selection,executor_target_miss,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""invoice totals table""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""notice or table""}}]","{""region_ids"":[""transfer-tile-3001""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""notice or table""},""validator_result"":""pass"",""region_ids"":[],""region_id"":"""",""error"":null}]"
schema_field_hints_v4,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,False,False,False,False,expected_call_invalid_empty_region_id,no_tool_call,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""region_id"":""""}}]",[],"{""region_ids"":[""transfer-signature-3502""]}",[]
schema_field_hints_v4,transfer_status_pill_chart_decoy,visual_argument_transfer,False,False,False,False,expected_call_invalid_empty_region_id,executor_target_miss,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-status-pill"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-status-pill"",""target_query"":""blocked""}}]","{""region_ids"":[""transfer-pill-3101""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-status-pill"",""target_query"":""blocked""},""validator_result"":""pass"",""region_ids"":[""transfer-pill-3101"",""transfer-pill-3102"",""transfer-pill-3103""],""region_id"":""transfer-pill-3101"",""error"":null}]"
schema_literal_targets_v5,transfer_error_banner_note_decoy,visual_argument_transfer,False,True,True,False,expected_call_returns_empty_region_selection,nonexact_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""}}]","{""region_ids"":[""transfer-banner-3202""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-error-banner"",""target_query"":""error banner""},""validator_result"":""pass"",""region_ids"":[""transfer-banner-3202""],""region_id"":""transfer-banner-3202"",""error"":null}]"
schema_literal_targets_v5,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,True,True,True,True,expected_call_reaches_executor_target,exact_and_executor_target_success,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""}}]","{""region_ids"":[""transfer-form-3402""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-form-chip"",""target_query"":""validation error""},""validator_result"":""pass"",""region_ids"":[""transfer-form-3402""],""region_id"":""transfer-form-3402"",""error"":null}]"
schema_literal_targets_v5,transfer_queue_badge_person_decoy,visual_argument_transfer,False,False,False,False,expected_call_invalid_empty_region_id,executor_target_miss,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""assignee note""}}]","{""region_ids"":[""transfer-queue-3302""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-queue-badge"",""target_query"":""assignee note""},""validator_result"":""pass"",""region_ids"":[""transfer-queue-3301""],""region_id"":""transfer-queue-3301"",""error"":null}]"
schema_literal_targets_v5,transfer_review_tile_notice_table_decoy,visual_argument_transfer,False,False,False,False,expected_call_returns_empty_region_selection,executor_target_miss,"[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""invoice totals table""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""notice""}}]","{""region_ids"":[""transfer-tile-3001""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-review-tile"",""target_query"":""notice""},""validator_result"":""pass"",""region_ids"":[""transfer-tile-3002""],""region_id"":""transfer-tile-3002"",""error"":null}]"
schema_literal_targets_v5,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,False,True,True,False,expected_call_invalid_empty_region_id,nonexact_executor_target_success,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""target_query"":""signature warning""}}]","{""region_ids"":[""transfer-signature-3502""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-signature-warning"",""target_query"":""signature warning""},""validator_result"":""pass"",""region_ids"":[""transfer-signature-3502""],""region_id"":""transfer-signature-3502"",""error"":null}]"
schema_literal_targets_v5,transfer_status_pill_chart_decoy,visual_argument_transfer,False,True,True,False,expected_call_invalid_empty_region_id,nonexact_executor_target_success,"[{""name"":""read_region_text"",""arguments"":{""image_id"":""img-transfer-status-pill"",""region_id"":""""}}]","[{""name"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-status-pill"",""target_query"":""status pill""}}]","{""region_ids"":[""transfer-pill-3101""]}","[{""selected_tool"":""extract_layout"",""arguments"":{""image_id"":""img-transfer-status-pill"",""target_query"":""status pill""},""validator_result"":""pass"",""region_ids"":[""transfer-pill-3101""],""region_id"":""transfer-pill-3101"",""error"":null}]"
