profile_label,case_id,family,failure_mode,executor_equivalence_match,expected_tool,expected_arguments,actual_tool,actual_arguments,actual_region_ids,output_dir
component_label_guard_v11,h1y_responsible_party_field_old_owner_memo_decoy,h1y_route_stale_field,wrong_tool,False,extract_layout,"{""image_id"": ""img-h1y-owner-field"", ""target_query"": ""owner field""}",refine_selection,"{""filter_query"": ""responsible-party"", ""selection_id"": ""sel-h1y-owner-memo""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_label_guard_execute_v1/runs/h1y_responsible_party_field_old_owner_memo_decoy
component_label_guard_v11,h1y_escalation_contact_field_saved_summary_decoy,h1y_route_stale_field,wrong_tool,False,extract_layout,"{""image_id"": ""img-h1y-escalation-contact"", ""target_query"": ""owner field""}",refine_selection,"{""filter_query"": ""latest"", ""selection_id"": ""sel-h1y-contact-summary""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_label_guard_execute_v1/runs/h1y_escalation_contact_field_saved_summary_decoy
component_label_guard_v11,h1y_review_owner_field_previous_table_decoy,h1y_route_stale_field,wrong_tool,False,extract_layout,"{""image_id"": ""img-h1y-review-owner"", ""target_query"": ""owner field""}",refine_selection,"{""filter_query"": ""owner field"", ""selection_id"": ""sel-h1y-review-table""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_label_guard_execute_v1/runs/h1y_review_owner_field_previous_table_decoy
component_label_guard_v11,h1y_lifecycle_state_tag_audit_value_decoy,h1y_route_nonstandard_class,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""state tag""}",extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""lifecycle state tag""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_label_guard_execute_v1/runs/h1y_lifecycle_state_tag_audit_value_decoy
component_label_guard_v11,h1y_alert_s92_negated_toggle_decoy,h1y_route_code_label,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""alert s92""}",extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""alert""}","h1y-alert-toggle-9851,h1y-alert-s92-9852,h1y-alert-log-9853",/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_label_guard_execute_v1/runs/h1y_alert_s92_negated_toggle_decoy
component_residual_guard_v12,h1y_responsible_party_field_old_owner_memo_decoy,h1y_route_stale_field,wrong_tool,False,extract_layout,"{""image_id"": ""img-h1y-owner-field"", ""target_query"": ""owner field""}",refine_selection,"{""filter_query"": ""responsible-party"", ""selection_id"": ""sel-h1y-owner-memo""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_residual_guard_execute_v1/runs/h1y_responsible_party_field_old_owner_memo_decoy
component_residual_guard_v12,h1y_lifecycle_state_tag_audit_value_decoy,h1y_route_nonstandard_class,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""state tag""}",extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""lifecycle state tag""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_residual_guard_execute_v1/runs/h1y_lifecycle_state_tag_audit_value_decoy
component_residual_guard_v12,h1y_status_pill_summary_value_holdout,h1y_preserve_surface_value,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-status-pill"", ""target_query"": ""status pill""}",extract_layout,"{""image_id"": ""img-h1y-status-pill"", ""target_query"": ""Pending""}","h1y-status-summary-9871,h1y-status-pill-9872,h1y-status-table-9873",/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_residual_guard_execute_v1/runs/h1y_status_pill_summary_value_holdout
routed_residual_guard_v16,h1y_responsible_party_field_old_owner_memo_decoy,h1y_route_stale_field,wrong_tool,False,extract_layout,"{""image_id"": ""img-h1y-owner-field"", ""target_query"": ""owner field""}",refine_selection,"{""filter_query"": ""latest"", ""selection_id"": ""sel-h1y-owner-memo""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_routed_residual_guard_execute_v1/runs/h1y_responsible_party_field_old_owner_memo_decoy
routed_residual_guard_v16,h1y_lifecycle_state_tag_audit_value_decoy,h1y_route_nonstandard_class,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""state tag""}",extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""lifecycle state tag""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_routed_residual_guard_execute_v1/runs/h1y_lifecycle_state_tag_audit_value_decoy
routed_residual_guard_v16,h1y_alert_s92_negated_toggle_decoy,h1y_route_code_label,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""alert s92""}",extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""override toggle""}",h1y-alert-toggle-9851,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_routed_residual_guard_execute_v1/runs/h1y_alert_s92_negated_toggle_decoy
routed_residual_guard_v16,h1y_status_pill_summary_value_holdout,h1y_preserve_surface_value,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-status-pill"", ""target_query"": ""status pill""}",extract_layout,"{""image_id"": ""img-h1y-status-pill"", ""target_query"": ""Pending""}","h1y-status-summary-9871,h1y-status-pill-9872,h1y-status-table-9873",/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_routed_residual_guard_execute_v1/runs/h1y_status_pill_summary_value_holdout
routed_residual_guard_v16,h1y_result_badge_comment_value_holdout,h1y_preserve_surface_value,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-result-badge"", ""target_query"": ""result badge""}",extract_layout,"{""image_id"": ""img-h1y-result-badge"", ""target_query"": ""Blocked""}","h1y-result-comment-9881,h1y-result-badge-9882,h1y-result-board-9883",/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1y_routed_residual_routed_residual_guard_execute_v1/runs/h1y_result_badge_comment_value_holdout
selection_origin_guard_v17,h1y_responsible_party_field_old_owner_memo_decoy,h1y_route_stale_field,wrong_tool,False,extract_layout,"{""image_id"": ""img-h1y-owner-field"", ""target_query"": ""owner field""}",refine_selection,"{""filter_query"": ""owner field"", ""selection_id"": ""sel-h1y-owner-memo""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1z_selection_origin_guard_on_h1y_execute_v1/runs/h1y_responsible_party_field_old_owner_memo_decoy
selection_origin_guard_v17,h1y_escalation_contact_field_saved_summary_decoy,h1y_route_stale_field,wrong_tool,False,extract_layout,"{""image_id"": ""img-h1y-escalation-contact"", ""target_query"": ""owner field""}",refine_selection,"{""filter_query"": ""latest"", ""selection_id"": ""sel-h1y-contact-summary""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1z_selection_origin_guard_on_h1y_execute_v1/runs/h1y_escalation_contact_field_saved_summary_decoy
selection_origin_guard_v17,h1y_review_owner_field_previous_table_decoy,h1y_route_stale_field,wrong_tool,False,extract_layout,"{""image_id"": ""img-h1y-review-owner"", ""target_query"": ""owner field""}",refine_selection,"{""filter_query"": ""owner field"", ""selection_id"": ""sel-h1y-review-table""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1z_selection_origin_guard_on_h1y_execute_v1/runs/h1y_review_owner_field_previous_table_decoy
selection_origin_guard_v17,h1y_lifecycle_state_tag_audit_value_decoy,h1y_route_nonstandard_class,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""state tag""}",extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""lifecycle state tag""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1z_selection_origin_guard_on_h1y_execute_v1/runs/h1y_lifecycle_state_tag_audit_value_decoy
selection_origin_guard_v17,h1y_alert_s92_negated_toggle_decoy,h1y_route_code_label,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""alert s92""}",extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""override toggle""}",h1y-alert-toggle-9851,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1z_selection_origin_guard_on_h1y_execute_v1/runs/h1y_alert_s92_negated_toggle_decoy
component_label_guard_v11_stale_selection_gate_h2a,h1y_lifecycle_state_tag_audit_value_decoy,h1y_route_nonstandard_class,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""state tag""}",extract_layout,"{""image_id"": ""img-h1y-state-tag"", ""target_query"": ""lifecycle state tag""}",,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2a_visual_stale_selection_gate_on_h1y_execute_v1/runs/h1y_lifecycle_state_tag_audit_value_decoy
component_label_guard_v11_stale_selection_gate_h2a,h1y_alert_s92_negated_toggle_decoy,h1y_route_code_label,argument_mismatch,False,extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""alert s92""}",extract_layout,"{""image_id"": ""img-h1y-alert-s92"", ""target_query"": ""alert""}","h1y-alert-toggle-9851,h1y-alert-s92-9852,h1y-alert-log-9853",/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2a_visual_stale_selection_gate_on_h1y_execute_v1/runs/h1y_alert_s92_negated_toggle_decoy
