profile_label,slice,case_id,family,intervention_kind,from_tool,from_arguments,to_tool,to_arguments,preserved_target_query,blocked_label,prompt_state_label,reason
h2k_h2w_semantic_target_preservation,h2k,h2k_result_badge_negated_result_tile_decoy,h2k_negated_same_component_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-result-badge"",""target_query"":""result badge Blocked""}",extract_layout,"{""image_id"":""img-h2k-result-badge"",""target_query"":""result badge""}",,result badge,result badge,
h2k_h2w_semantic_target_preservation,h2k,h2k_error_banner_archived_error_notice_decoy,h2k_transfer_regression_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-error-banner"",""target_query"":""error notice""}",extract_layout,"{""image_id"":""img-h2k-error-banner"",""target_query"":""error banner""}",,error banner,error banner,
h2k_h2w_semantic_target_preservation,h2k,h2k_state_tag_before_reading_state_marker_decoy,h2k_before_reading_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-state-tag"",""target_query"":""state tag Closed""}",extract_layout,"{""image_id"":""img-h2k-state-tag"",""target_query"":""state tag""}",,state tag,state tag,
h2k_h2w_semantic_target_preservation,h2k,h2k_mode_field_before_reading_mode_switch_decoy,h2k_before_reading_decoy,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2k-mode-field"",""target_query"":""mode toggle""}",extract_layout,"{""image_id"":""img-h2k-mode-field"",""target_query"":""mode field""}",,mode field,mode field,
h2k_h2w_semantic_target_preservation,h2k,h2k_alert_t47_archived_alert_s92_decoy,h2k_code_label_overlap,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h2k-alert-t47"",""target_query"":""alert t47""}",,{},alert t47,alert s92,,negation_scope_exact_layout_label
h2l_h2w_semantic_target_preservation,h2l,h2l_status_badge_short_label_regression_guard,h2l_h2k_regression_guard,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2l-status-badge-short"",""target_query"":""critical chip""}",extract_layout,"{""image_id"":""img-h2l-status-badge-short"",""target_query"":""status badge""}",,status badge,status badge,
h2f_h2w_semantic_target_preservation,h2f,h2f_result_tile_comment_value_decoy,h2f_route_component_class_transfer,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2f-result-tile"",""target_query"":""Blocked""}",extract_layout,"{""image_id"":""img-h2f-result-tile"",""target_query"":""result tile""}",,result tile,result tile,
h2f_h2w_semantic_target_preservation,h2f,h2f_resolution_badge_log_result_decoy,h2f_route_component_class_transfer,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2f-resolution-badge"",""target_query"":""Deferred""}",extract_layout,"{""image_id"":""img-h2f-resolution-badge"",""target_query"":""resolution badge""}",,resolution badge,resolution badge,
h2f_h2w_semantic_target_preservation,h2f,h2f_state_marker_history_value_decoy,h2f_route_nonstandard_class,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2f-state-marker"",""target_query"":""lifecycle state marker""}",extract_layout,"{""image_id"":""img-h2f-state-marker"",""target_query"":""state marker""}",,state marker,state marker,
h2f_h2w_semantic_target_preservation,h2f,h2f_mode_switch_note_value_decoy,h2f_route_nonstandard_class,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h2f-mode-switch"",""target_query"":""mode toggle""}",extract_layout,"{""image_id"":""img-h2f-mode-switch"",""target_query"":""mode switch""}",,mode switch,mode switch,
h2f_h2w_semantic_target_preservation,h2f,h2f_owner_field_previous_memo_decoy,h2f_route_stale_field,visual_stale_selection_gate,refine_selection,"{""filter_query"":""owner field"",""selection_id"":""sel-h2f-owner-memo""}",extract_layout,"{""image_id"":""img-h2f-owner-field"",""target_query"":""owner field""}",,,,
h2b_h2w_semantic_target_preservation,h2b,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,visual_stale_selection_gate,refine_selection,"{""filter_query"":""approved"",""selection_id"":null}",extract_layout,"{""image_id"":""img-component-result-pill"",""target_query"":""result pill""}",,,,
h1x_h2w_semantic_target_preservation,h1x,h1x_responsible_party_field_old_owner_memo_decoy,h1x_oblique_stale_field,visual_stale_selection_gate,refine_selection,"{""filter_query"":""responsible-party entry showing Iris"",""selection_id"":""sel-owner-memo""}",extract_layout,"{""image_id"":""img-h1x-owner-field"",""target_query"":""owner field""}",,,,
h1x_h2w_semantic_target_preservation,h1x,h1x_workstream_owner_field_previous_summary_decoy,h1x_oblique_stale_field,visual_stale_selection_gate,refine_selection,"{""filter_query"":""owner"",""selection_id"":""sel-workstream-summary""}",extract_layout,"{""image_id"":""img-h1x-workstream-owner"",""target_query"":""owner field""}",,,,
h1y_h2w_semantic_target_preservation,h1y,h1y_responsible_party_field_old_owner_memo_decoy,h1y_route_stale_field,visual_stale_selection_gate,refine_selection,"{""filter_query"":""latest"",""selection_id"":""sel-h1y-owner-memo""}",extract_layout,"{""image_id"":""img-h1y-owner-field"",""target_query"":""owner field""}",,,,
h1y_h2w_semantic_target_preservation,h1y,h1y_escalation_contact_field_saved_summary_decoy,h1y_route_stale_field,visual_stale_selection_gate,refine_selection,"{""filter_query"":""latest"",""selection_id"":""sel-h1y-contact-summary""}",extract_layout,"{""image_id"":""img-h1y-escalation-contact"",""target_query"":""owner field""}",,,,
h1y_h2w_semantic_target_preservation,h1y,h1y_lifecycle_state_tag_audit_value_decoy,h1y_route_nonstandard_class,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h1y-state-tag"",""target_query"":""lifecycle state tag""}",extract_layout,"{""image_id"":""img-h1y-state-tag"",""target_query"":""state tag""}",,state tag,state tag,
h1y_h2w_semantic_target_preservation,h1y,h1y_alert_s92_negated_toggle_decoy,h1y_route_code_label,visual_composed_route_gating_blocked,extract_layout,"{""image_id"":""img-h1y-alert-s92"",""target_query"":""alert s92""}",,{},alert s92,override toggle,,negation_scope_exact_layout_label
h1y_h2w_semantic_target_preservation,h1y,h1y_status_pill_summary_value_holdout,h1y_preserve_surface_value,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h1y-status-pill"",""target_query"":""Pending""}",extract_layout,"{""image_id"":""img-h1y-status-pill"",""target_query"":""status pill""}",,status pill,status pill,
h1o_h2w_semantic_target_preservation,h1o,h1o_activation_warning_tile_no_call_decoy,h1o_activation_no_call,visual_target_query_normalization,extract_layout,"{""image_id"":""img-h1o-activation-warning-tile"",""target_query"":""overdue""}",extract_layout,"{""image_id"":""img-h1o-activation-warning-tile"",""target_query"":""warning tile""}",,warning tile,warning tile,
